,matched_longitude,matched_latitude
755,174.776706,-36.8464
756,174.776757,-36.846413
757,174.776807,-36.846426
758,174.776856,-36.846439
759,174.776904,-36.846452
760,174.77696,-36.846467
761,174.77702,-36.846482
762,174.777063,-36.846493
763,174.777096,-36.846502
764,174.777133,-36.846512
765,174.777173,-36.846522
766,174.77721,-36.846532
767,174.777268,-36.846547
768,174.77731,-36.846558
769,174.777352,-36.846569
770,174.777393,-36.846579
771,174.777438,-36.846591
772,174.777482,-36.846603
773,174.777528,-36.846615
774,174.777579,-36.846628
775,174.777639,-36.846644
776,174.777679,-36.846654
777,174.777715,-36.846664
778,174.777758,-36.846675
779,174.777809,-36.846688
780,174.777852,-36.846699
781,174.777889,-36.846709
782,174.777933,-36.84672
783,174.777973,-36.846731
784,174.778015,-36.846742
785,174.778056,-36.846753
786,174.7781,-36.846764
787,174.778141,-36.846775
788,174.778186,-36.846786
789,174.778232,-36.846798
790,174.778276,-36.84681
791,174.778336,-36.846826
792,174.778386,-36.846839
793,174.778437,-36.846852
794,174.77848,-36.846863
795,174.778523,-36.846874
796,174.778569,-36.846886
797,174.77862,-36.8469
798,174.77867,-36.846913
799,174.778719,-36.846925
800,174.778773,-36.84694
801,174.778819,-36.846951
802,174.778859,-36.846962
803,174.778882,-36.847025
804,174.778915,-36.847075
805,174.778964,-36.847088
806,174.779011,-36.847101
807,174.779058,-36.847113
808,174.779102,-36.847125
809,174.779153,-36.847138
810,174.779204,-36.847151
811,174.779253,-36.847164
812,174.779295,-36.847175
813,174.779331,-36.847185
814,174.779371,-36.847195
815,174.779414,-36.847207
816,174.779448,-36.847216
817,174.779483,-36.847225
818,174.779535,-36.847239
819,174.779584,-36.847252
820,174.779628,-36.847264
821,174.779686,-36.847279
822,174.779727,-36.847289
823,174.779772,-36.847301
824,174.779817,-36.847313
825,174.779867,-36.847326
826,174.77992,-36.84734
827,174.779966,-36.847352
828,174.780012,-36.847364
829,174.78006,-36.847376
830,174.780111,-36.84739
831,174.78016,-36.847402
832,174.780205,-36.847414
833,174.780251,-36.847426
834,174.780303,-36.84744
835,174.780359,-36.847454
836,174.780425,-36.847472
837,174.780487,-36.847488
838,174.780545,-36.847503
839,174.780601,-36.847518
840,174.780657,-36.847533
841,174.780715,-36.847548
842,174.780766,-36.847562
843,174.78082,-36.847576
844,174.780869,-36.847589
845,174.780919,-36.847603
846,174.780962,-36.847614
847,174.781009,-36.847627
848,174.781076,-36.847645
849,174.78112,-36.847656
850,174.781169,-36.847669
851,174.781207,-36.847679
852,174.781255,-36.847692
853,174.781302,-36.847705
854,174.781344,-36.847716
855,174.78143,-36.847738
856,174.781498,-36.847657
857,174.781554,-36.847672
858,174.7816,-36.847684
859,174.781642,-36.847695
860,174.78169,-36.847707
861,174.781735,-36.847719
862,174.781783,-36.847729
863,174.781821,-36.847738
864,174.78186,-36.847746
865,174.781893,-36.847751
