,original_longitude,original_latitude
397,174.7736444,-36.852458
398,174.7736718,-36.8524357
399,174.7736986,-36.8524125
400,174.7737199,-36.8523924
401,174.7737293,-36.8523734
402,174.7737252,-36.8523558
403,174.7737163,-36.8523416
404,174.7737034,-36.852305
405,174.773699,-36.8522902
406,174.7736942,-36.8522792
407,174.7736912,-36.8522729
408,174.7736901,-36.8522653
409,174.7736905,-36.8522522
410,174.7736921,-36.8522393
411,174.7736948,-36.852233
412,174.7736986,-36.8522272
413,174.7737029,-36.852216
414,174.7737069,-36.8522067
415,174.7737014,-36.8521921
416,174.7737026,-36.8521835
417,174.7737011,-36.8521735
418,174.773701,-36.8521639
419,174.773701,-36.852156
420,174.7737008,-36.8521479
421,174.7737022,-36.8521405
422,174.7737009,-36.8521337
423,174.7737001,-36.8521271
424,174.7736977,-36.8521226
425,174.7736953,-36.8521161
426,174.7736924,-36.8521102
427,174.7736866,-36.852108
428,174.773685,-36.8521012
429,174.7736846,-36.8520953
430,174.7736825,-36.8520891
431,174.7736833,-36.8520843
432,174.7736825,-36.8520792
433,174.7736824,-36.8520722
434,174.7736787,-36.852063
435,174.773676,-36.8520543
436,174.773677,-36.8520448
437,174.773676,-36.8520357
438,174.7736751,-36.852029
439,174.7736815,-36.8520065
440,174.7736832,-36.8519748
441,174.7736736,-36.8519363
442,174.7736766,-36.8519078
443,174.77368,-36.8518761
444,174.7736833,-36.8518408
445,174.7736931,-36.8518046
446,174.7736998,-36.8517677
447,174.7737013,-36.8517337
448,174.7737101,-36.8516854
449,174.7737226,-36.8516401
450,174.773735,-36.8515937
451,174.773748,-36.8515401
452,174.773758,-36.8514903
453,174.7737744,-36.851443
454,174.7737899,-36.8513925
455,174.7738082,-36.8513486
456,174.773824,-36.8512982
457,174.773839,-36.8512466
458,174.7738527,-36.8511934
459,174.7738682,-36.8511394
460,174.7738861,-36.8510844
461,174.7738929,-36.8510319
462,174.7739021,-36.8509797
463,174.7739142,-36.8509211
464,174.7739339,-36.8508648
465,174.7739535,-36.8508097
466,174.7739726,-36.850758
467,174.7739976,-36.8507087
468,174.774028,-36.8506646
469,174.774063,-36.850621
470,174.7740975,-36.8505843
471,174.7741336,-36.8505459
472,174.7741709,-36.8505078
473,174.7742063,-36.8504811
474,174.7742371,-36.8504589
475,174.7742633,-36.8504414
476,174.7742891,-36.8504195
477,174.7743155,-36.8503947
478,174.7743354,-36.8503726
479,174.7743598,-36.8503416
480,174.7743778,-36.8503025
481,174.7743924,-36.8502622
482,174.7744064,-36.8502238
483,174.7744181,-36.8501824
484,174.7744236,-36.8501398
485,174.7744249,-36.850098
486,174.7744255,-36.8500589
487,174.7744233,-36.8500169
488,174.7744234,-36.8499767
489,174.7744175,-36.8499337
490,174.7744097,-36.8498987
491,174.7743967,-36.8498575
492,174.7743991,-36.8498193
493,174.7744066,-36.8497828
494,174.7744067,-36.8497503
495,174.7744106,-36.8497075
496,174.7743952,-36.8496724
497,174.7743634,-36.8496412
498,174.7743454,-36.8496058
499,174.7743239,-36.8495631
500,174.7743207,-36.8495248
501,174.7743124,-36.849494
502,174.7743375,-36.8494376
503,174.7743498,-36.8493856
504,174.7743534,-36.8493418
505,174.7743568,-36.8492991
506,174.774359,-36.8492563
507,174.7743413,-36.8492113
508,174.7743311,-36.8491634
509,174.7743232,-36.8491153
510,174.7743059,-36.8490719
511,174.7742865,-36.8490275
512,174.7742975,-36.8489758
513,174.7743214,-36.8489294
514,174.7743508,-36.8488861
515,174.7743773,-36.8488447
516,174.774403,-36.8488027
517,174.7744218,-36.8487643
518,174.774434,-36.8487215
519,174.7744334,-36.8486775
520,174.7744239,-36.8486307
521,174.7744098,-36.8485912
522,174.7743999,-36.8485569
523,174.7743862,-36.8485229
524,174.7743683,-36.8484907
525,174.7743552,-36.8484599
526,174.7743427,-36.8484225
527,174.7743314,-36.848386
528,174.7743326,-36.8483447
529,174.774323,-36.8482954
530,174.7743152,-36.8482492
531,174.7743002,-36.8482068
532,174.774285,-36.8481662
533,174.7742666,-36.8481266
534,174.7742497,-36.8480857
535,174.7742331,-36.8480486
536,174.7742129,-36.8480054
537,174.7741968,-36.8479729
538,174.7741852,-36.847939
539,174.7741736,-36.8479099
540,174.7741587,-36.8478791
541,174.7741435,-36.8478498
542,174.7741291,-36.8478193
543,174.7741263,-36.847785
544,174.7741208,-36.8477532
545,174.7740702,-36.8477263
546,174.7740562,-36.8476936
547,174.7740423,-36.8476565
548,174.7740321,-36.8476151
549,174.7740335,-36.8475756
550,174.7740429,-36.8475371
551,174.77406,-36.8475045
552,174.7740747,-36.8474592
553,174.7740925,-36.8474132
554,174.7741091,-36.8473728
555,174.7741423,-36.8473546
556,174.7741637,-36.8473208
557,174.7741869,-36.8473057
558,174.774214,-36.8472985
559,174.7742457,-36.8472795
560,174.7742744,-36.8472593
561,174.7742977,-36.8472343
562,174.7742894,-36.8471807
563,174.7743066,-36.8471401
564,174.7743251,-36.847107
565,174.7743432,-36.8470753
566,174.7743623,-36.8470487
567,174.7743744,-36.8470318
568,174.774389,-36.8470092
569,174.7744013,-36.8469881
570,174.7744111,-36.8469642
571,174.774425,-36.8469419
572,174.7744439,-36.846919
573,174.7744711,-36.8469006
574,174.7745064,-36.8468934
575,174.7745536,-36.8468882
576,174.7745858,-36.8468836
577,174.7746258,-36.846882
578,174.7746709,-36.8468809
579,174.7746932,-36.8468866
580,174.774711,-36.8468873
581,174.7747246,-36.8468954
582,174.7747301,-36.8469008
583,174.7747382,-36.8469029
584,174.7747465,-36.8469054
585,174.7747562,-36.8469093
586,174.7747814,-36.8469071
587,174.7748009,-36.8469015
588,174.7748267,-36.8468878
589,174.7748479,-36.8468717
590,174.7748676,-36.8468563
591,174.7748745,-36.846834
592,174.774879,-36.8468127
593,174.7749016,-36.8467844
594,174.7749076,-36.8467682
595,174.7749063,-36.8467572
596,174.7749028,-36.8467464
597,174.7749023,-36.8467132
598,174.7748994,-36.8466886
599,174.7749019,-36.8466664
600,174.7749027,-36.8466435
601,174.7749036,-36.8466177
602,174.7749096,-36.8465898
603,174.7749164,-36.8465633
604,174.7749136,-36.8465391
605,174.7749117,-36.8465126
606,174.774912,-36.8464843
607,174.7749145,-36.8464563
608,174.7749122,-36.8464341
609,174.7749151,-36.8464079
610,174.7749114,-36.8463838
611,174.7749194,-36.8463549
612,174.7749486,-36.8462991
613,174.7749835,-36.8462416
614,174.7750102,-36.8462046
615,174.7750348,-36.8461705
616,174.7750507,-36.8461435
617,174.7750638,-36.8461198
618,174.7750776,-36.846099
619,174.7750867,-36.846076
620,174.7750974,-36.8460562
621,174.7751072,-36.846046
622,174.7751158,-36.846024
623,174.7751184,-36.8460116
624,174.7751207,-36.8460018
625,174.775126,-36.8459957
626,174.7751253,-36.8459945
627,174.7751283,-36.8459834
628,174.7751254,-36.8459751
629,174.7751218,-36.8459701
630,174.7751212,-36.84597
631,174.7751214,-36.8459707
632,174.775121,-36.8459709
633,174.7751206,-36.8459703
634,174.7751205,-36.8459708
635,174.7751206,-36.8459714
636,174.7751206,-36.8459711
637,174.7751203,-36.8459709
638,174.7751207,-36.8459711
639,174.7751214,-36.8459718
640,174.7751221,-36.8459712
641,174.7751239,-36.8459699
642,174.7751254,-36.8459687
643,174.7751254,-36.8459686
644,174.7751263,-36.8459681
645,174.7751268,-36.8459676
646,174.7751272,-36.8459674
647,174.7751286,-36.8459662
648,174.7751303,-36.8459649
649,174.7751321,-36.8459638
650,174.7751337,-36.8459629
651,174.7751361,-36.8459614
652,174.7751377,-36.84596
653,174.7751388,-36.8459592
654,174.7751391,-36.8459591
655,174.7751397,-36.8459585
656,174.775141,-36.8459578
657,174.7751427,-36.8459567
658,174.7751438,-36.845956
659,174.7751452,-36.8459553
660,174.7751464,-36.8459544
661,174.7751488,-36.8459528
662,174.7751506,-36.8459518
663,174.7751522,-36.8459505
664,174.7751533,-36.8459497
665,174.7751532,-36.8459498
666,174.7751535,-36.8459505
667,174.7751537,-36.8459505
668,174.7751556,-36.8459505
669,174.7751573,-36.8459495
670,174.7751584,-36.8459494
671,174.7751591,-36.8459494
672,174.7751598,-36.8459503
673,174.7751599,-36.8459507
674,174.7751584,-36.8459492
675,174.7751569,-36.8459479
676,174.7751546,-36.8459462
677,174.7751466,-36.8459389
678,174.7751425,-36.8459348
679,174.775135,-36.8459309
680,174.77513,-36.8459257
681,174.7751283,-36.8459246
682,174.7751276,-36.8459241
683,174.7751274,-36.8459236
684,174.7751267,-36.845923
685,174.7751268,-36.8459228
686,174.7751262,-36.8459224
687,174.7751257,-36.8459223
688,174.7751253,-36.845922
689,174.7751249,-36.845922
690,174.7751247,-36.8459206
691,174.7751248,-36.8459186
692,174.7751246,-36.8459172
693,174.7751248,-36.8459158
694,174.7751259,-36.8459147
695,174.7751261,-36.8459133
696,174.7751264,-36.8459127
697,174.7751261,-36.8459125
698,174.7751253,-36.8459115
699,174.775125,-36.8459104
700,174.7751247,-36.8459092
701,174.775124,-36.8459091
702,174.775123,-36.8459071
703,174.7751223,-36.8459051
704,174.7751215,-36.8459039
705,174.775121,-36.845903
706,174.7751211,-36.8459019
707,174.7751223,-36.845902
708,174.775122,-36.8459016
709,174.7751219,-36.8459016
710,174.7751225,-36.8459017
711,174.7751239,-36.8459006
712,174.7751269,-36.8458808
713,174.7751341,-36.8458612
714,174.7751385,-36.845841
715,174.7751608,-36.8458289
716,174.7751756,-36.8458179
717,174.775185,-36.8458118
718,174.7751995,-36.8458039
719,174.7752213,-36.8458065
720,174.7752359,-36.8457956
721,174.7752631,-36.845795
722,174.7752993,-36.8457956
723,174.7753303,-36.8458001
724,174.7753607,-36.8458173
725,174.7753908,-36.8458417
726,174.7754209,-36.8458685
727,174.7754602,-36.8458895
728,174.7754997,-36.8459105
729,174.7755483,-36.8459248
730,174.7755995,-36.8459414
731,174.7756427,-36.8459615
732,174.7756879,-36.8459818
733,174.7757285,-36.846003
734,174.7757734,-36.8460233
735,174.7758189,-36.8460424
736,174.7758579,-36.8460587
737,174.7758986,-36.8460771
738,174.7759389,-36.8460962
739,174.7759858,-36.8461129
740,174.7760289,-36.8461331
741,174.7760688,-36.8461541
742,174.7761144,-36.8461716
743,174.7761575,-36.8461921
744,174.7762038,-36.8462032
745,174.7762434,-36.846222
746,174.7762907,-36.8462347
747,174.7763391,-36.84625
748,174.7763897,-36.8462634
749,174.7764306,-36.8462783
750,174.7764815,-36.846292
751,174.7765136,-36.8462998
752,174.7765474,-36.8463274
753,174.7766046,-36.8463423
754,174.7766557,-36.8463595
755,174.776717,-36.846372
756,174.7767676,-36.8463861
757,174.7768166,-36.8464014
758,174.7768648,-36.8464155
759,174.7769133,-36.8464289
760,174.776969,-36.8464454
761,174.7770221,-36.8464759
762,174.7770646,-36.8464887
763,174.7770962,-36.846503
764,174.7771296,-36.84652
765,174.7771669,-36.8465362
766,174.7772034,-36.8465497
767,174.777262,-36.8465611
768,174.7773014,-36.8465794
769,174.7773422,-36.8465933
770,174.777377,-36.8466193
771,174.777417,-36.8466428
772,174.7774566,-36.8466648
773,174.7774995,-36.8466841
774,174.7775548,-36.8466883
775,174.7776156,-36.8467
776,174.7776554,-36.8467136
777,174.7776921,-36.8467209
778,174.777739,-36.8467202
779,174.7777919,-36.846731
780,174.7778335,-36.8467436
781,174.777872,-36.8467514
782,174.7779211,-36.8467514
783,174.7779602,-36.8467633
784,174.7780023,-36.8467725
785,174.7780436,-36.8467834
786,174.7780913,-36.8467859
787,174.7781286,-36.8468051
788,174.7781707,-36.8468237
789,174.7782159,-36.8468368
790,174.778258,-36.8468536
791,174.7783197,-36.8468657
792,174.7783718,-36.8468743
793,174.7784208,-36.8468897
794,174.7784642,-36.8469023
795,174.778505,-36.8469191
796,174.778551,-36.8469304
797,174.7786013,-36.8469464
798,174.778651,-36.8469603
799,174.7786967,-36.8469786
800,174.7787515,-36.8469916
801,174.7788003,-36.8469971
802,174.7788523,-36.8470077
803,174.7788955,-36.847023
804,174.7789281,-36.8470427
805,174.7789736,-36.8470632
806,174.7790197,-36.8470787
807,174.7790655,-36.8470934
808,174.7791072,-36.8471125
809,174.7791545,-36.8471331
810,174.7792049,-36.8471495
811,174.7792534,-36.8471627
812,174.7792934,-36.8471814
813,174.779327,-36.8471952
814,174.7793661,-36.8472074
815,174.7794055,-36.8472249
816,174.7794345,-36.8472477
817,174.7794658,-36.8472653
818,174.7795137,-36.8472893
819,174.7795623,-36.8473051
820,174.7796066,-36.8473149
821,174.7796682,-36.8473219
822,174.7797101,-36.8473319
823,174.779754,-36.8473455
824,174.7798002,-36.8473547
825,174.779852,-36.8473636
826,174.779904,-36.8473781
827,174.7799486,-36.8473929
828,174.7799926,-36.8474088
829,174.7800395,-36.8474238
830,174.7800885,-36.8474439
831,174.7801342,-36.8474648
832,174.7801774,-36.8474816
833,174.7802205,-36.8474994
834,174.7802708,-36.8475168
835,174.7803281,-36.8475305
836,174.7803948,-36.8475452
837,174.7804562,-36.8475633
838,174.7805121,-36.8475826
839,174.7805663,-36.8476018
840,174.7806186,-36.8476234
841,174.7806737,-36.8476471
842,174.7807217,-36.8476685
843,174.7807741,-36.8476877
844,174.7808233,-36.8477008
845,174.7808708,-36.8477169
846,174.7809115,-36.847735
847,174.7809595,-36.8477451
848,174.7810305,-36.8477536
849,174.7810759,-36.8477621
850,174.7811262,-36.8477716
851,174.7811647,-36.8477796
852,174.7812161,-36.8477857
853,174.7812648,-36.8477925
854,174.7813081,-36.8478015
855,174.7813769,-36.8478049
856,174.7814365,-36.8478071
857,174.7814978,-36.8478104
858,174.7815473,-36.8478139
859,174.7815932,-36.8478158
860,174.7816437,-36.8478203
861,174.7817003,-36.8478231
862,174.7817496,-36.8478265
863,174.7817905,-36.8478273
864,174.7818326,-36.8478276
865,174.7818752,-36.8478268
866,174.7819181,-36.8478271
867,174.7819596,-36.8478265
868,174.7819981,-36.8478263
869,174.7820444,-36.847826
870,174.7821087,-36.8478247
871,174.7821616,-36.8478215
872,174.7822009,-36.8478171
873,174.7822572,-36.8478141
874,174.7823152,-36.8478093
875,174.7823601,-36.8478035
876,174.7824048,-36.8477967
877,174.7824565,-36.8477893
878,174.7825023,-36.8477808
879,174.7825433,-36.8477721
880,174.782578,-36.8477649
881,174.7826338,-36.8477577
882,174.782697,-36.8477524
883,174.7827435,-36.8477476
884,174.7827883,-36.8477433
885,174.7828377,-36.8477365
886,174.7828825,-36.8477316
887,174.782928,-36.8477291
888,174.7829748,-36.8477268
889,174.7830314,-36.8477231
890,174.7830915,-36.8477195
891,174.7831402,-36.8477183
892,174.7831933,-36.8477183
893,174.783256,-36.8477175
894,174.7833118,-36.8477189
895,174.7833664,-36.8477218
896,174.7834111,-36.8477192
897,174.7834607,-36.8477159
898,174.7835142,-36.8477119
899,174.7835612,-36.8477105
900,174.7836043,-36.8477083
901,174.7836656,-36.8477053
902,174.7837267,-36.8476963
903,174.7837799,-36.8476909
904,174.7838188,-36.8476995
905,174.7838733,-36.8476967
906,174.7839232,-36.847695
907,174.7839711,-36.847691
908,174.7840224,-36.8476857
909,174.7840726,-36.8476865
910,174.7841233,-36.8476872
911,174.7841721,-36.8476879
912,174.7842221,-36.847688
913,174.7842802,-36.8476837
914,174.784335,-36.8476826
915,174.7843877,-36.8476851
916,174.7844367,-36.8476881
917,174.7844861,-36.8476914
918,174.7845399,-36.8476957
919,174.7845947,-36.8476982
920,174.7846509,-36.8477006
921,174.7847103,-36.8477054
922,174.7847647,-36.84771
923,174.7848305,-36.8477083
924,174.7848977,-36.8477094
925,174.7849695,-36.847709
926,174.7850426,-36.847707
927,174.7851218,-36.8477026
928,174.7852015,-36.8477033
929,174.7852806,-36.8477057
930,174.7853661,-36.8477055
931,174.7854512,-36.8477061
932,174.7855299,-36.847713
933,174.7856216,-36.8477035
934,174.7857063,-36.8476968
935,174.7857936,-36.8476912
936,174.785875,-36.8476901
937,174.7859605,-36.8476937
938,174.7860493,-36.8476963
939,174.7861385,-36.847702
940,174.7862305,-36.8477041
941,174.7863208,-36.8477082
942,174.7864048,-36.847715
